chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
ZM4	62198	63477	ZMO1_ZMO0070;1	ZMO1_ZMO0070	1	.	+	grxB1	GrxB family glutaredoxin 2	AVZ41440.1
ZM4	63055	65433	ZMO1_ZMO0072,ZMO1_ZMO0073;1	ZMO1_ZMO0072	1	.	-	ZMO1_ZMO0072	NHL repeat-containing protein	AVZ41441.1
ZM4	63055	65433	ZMO1_ZMO0072,ZMO1_ZMO0073;1	ZMO1_ZMO0073	1	.	-	ZMO1_ZMO0073	CBS domain-containing protein	AVZ41442.1
ZM4	63088	67062	ZMO1_ZMO0072,ZMO1_ZMO0073,ZMO1_ZMO0074,ZMO1_ZMO0075;1	ZMO1_ZMO0072	1	.	-	ZMO1_ZMO0072	NHL repeat-containing protein	AVZ41441.1
ZM4	63088	67062	ZMO1_ZMO0072,ZMO1_ZMO0073,ZMO1_ZMO0074,ZMO1_ZMO0075;1	ZMO1_ZMO0073	1	.	-	ZMO1_ZMO0073	CBS domain-containing protein	AVZ41442.1
ZM4	63088	67062	ZMO1_ZMO0072,ZMO1_ZMO0073,ZMO1_ZMO0074,ZMO1_ZMO0075;1	ZMO1_ZMO0074	1	.	-	ZMO1_ZMO0074	endoribonuclease YbeY	AVZ41443.1
ZM4	63088	67062	ZMO1_ZMO0072,ZMO1_ZMO0073,ZMO1_ZMO0074,ZMO1_ZMO0075;1	ZMO1_ZMO0075	1	.	-	phoH	PhoH family protein	AVZ41444.1
ZM4	65434	67059	ZMO1_ZMO0074,ZMO1_ZMO0075;1	ZMO1_ZMO0074	1	.	-	ZMO1_ZMO0074	endoribonuclease YbeY	AVZ41443.1
ZM4	65434	67059	ZMO1_ZMO0074,ZMO1_ZMO0075;1	ZMO1_ZMO0075	1	.	-	phoH	PhoH family protein	AVZ41444.1
ZM4	67063	68564	ZMO1_ZMO0077;1	ZMO1_ZMO0077	1	.	-	miaB	MiaB family RNA modification enzyme	AVZ41445.1
ZM4	67065	69119	ZMO1_ZMO0077,ZMO1_ZMO0078;1	ZMO1_ZMO0077	1	.	-	miaB	MiaB family RNA modification enzyme	AVZ41445.1
ZM4	67065	69119	ZMO1_ZMO0077,ZMO1_ZMO0078;1	ZMO1_ZMO0078	1	.	-	cheW	chemotaxis protein CheW	AVZ41446.1
ZM4	68565	69205	ZMO1_ZMO0078;1	ZMO1_ZMO0078	1	.	-	cheW	chemotaxis protein CheW	AVZ41446.1
ZM4	69120	69664	ZMO1_ZMO0079;1	ZMO1_ZMO0079	1	.	-	cheY	response regulator receiver protein	AVZ41447.1
ZM4	69670	74893	ZMO1_ZMO0080,ZMO1_ZMO0081,ZMO1_ZMO0082,ZMO1_ZMO0083,ZMO1_ZMO0084;1	ZMO1_ZMO0080	1	.	-	cheD	chemoreceptor glutamine deamidase CheD	AVZ41448.1
ZM4	69670	74893	ZMO1_ZMO0080,ZMO1_ZMO0081,ZMO1_ZMO0082,ZMO1_ZMO0083,ZMO1_ZMO0084;1	ZMO1_ZMO0081	1	.	-	cheB1	chemotaxis signal transduction response regulator CheB	AVZ41449.1
ZM4	69670	74893	ZMO1_ZMO0080,ZMO1_ZMO0081,ZMO1_ZMO0082,ZMO1_ZMO0083,ZMO1_ZMO0084;1	ZMO1_ZMO0082	1	.	-	cheR	CheR-type MCP methyltransferase	AVZ41450.1
ZM4	69670	74893	ZMO1_ZMO0080,ZMO1_ZMO0081,ZMO1_ZMO0082,ZMO1_ZMO0083,ZMO1_ZMO0084;1	ZMO1_ZMO0083	1	.	-	cheA1	CheA signal transduction histidine kinase	AVZ41451.1
ZM4	69670	74893	ZMO1_ZMO0080,ZMO1_ZMO0081,ZMO1_ZMO0082,ZMO1_ZMO0083,ZMO1_ZMO0084;1	ZMO1_ZMO0084	1	.	-	cheX	chemotaxis protein CheX	AVZ41452.1
ZM4	74894	76598	ZMO1_ZMO0085;1	ZMO1_ZMO0085	1	.	-	mcp	methyl-accepting chemotaxis sensory transducer	AVZ41453.1
ZM4	74894	76460	ZMO1_ZMO0085;2	ZMO1_ZMO0085	2	.	-	mcp	methyl-accepting chemotaxis sensory transducer	AVZ41453.1
ZM4	76780	78968	ZMO1_ZMO0086;1	ZMO1_ZMO0086	1	.	-	ZMO1_ZMO0086	SpoT/RelA (p)ppGpp synthetase I	AVZ41454.1
ZM4	76791	79110	ZMO1_ZMO0086;2	ZMO1_ZMO0086	2	.	-	ZMO1_ZMO0086	SpoT/RelA (p)ppGpp synthetase I	AVZ41454.1
ZM4	79076	79666	ZMO1_ZMO0087;1	ZMO1_ZMO0087	1	.	-	ZMO1_ZMO0087	uncharacterized protein	AVZ41455.1
ZM4	79719	80423	ZMO1_ZMO0088;1	ZMO1_ZMO0088	1	.	-	ZMO1_ZMO0088	hypothetical protein	AVZ41456.1
ZM4	80632	81324	ZMO1_ZMO0089;1	ZMO1_ZMO0089	1	.	-	ZMO1_ZMO0089	hypothetical protein	AVZ41457.1
ZM4	81743	82634	ZMO1_ZMO0090;1	ZMO1_ZMO0090	1	.	-	ZMO1_ZMO0090	short-chain dehydrogenase/reductase SDR	AVZ41458.1
ZM4	82625	82780	ZMO1_ZMO0091;1	ZMO1_ZMO0091	1	.	+	ZMO1_ZMO0091	hypothetical protein	AVZ41459.1
ZM4	82881	83775	ZMO1_ZMO0092;1	ZMO1_ZMO0092	1	.	+	ZMO1_ZMO0092	uncharacterized protein	AVZ41460.1
ZM4	83757	85171	ZMO1_ZMO0094;1	ZMO1_ZMO0094	1	.	+	bioB	biotin synthase	AVZ41461.1
ZM4	84910	85491	ZMO1_ZMO0095;1	ZMO1_ZMO0095	1	.	-	ZMO1_ZMO0095	hypothetical protein	AVZ41462.1
ZM4	85491	86458	ZMO1_ZMO0096;1	ZMO1_ZMO0096	1	.	-	pgsA	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase	AVZ41463.1
ZM4	86442	87959	ZMO1_ZMO2042,ZMO1_ZMO0099;1	ZMO1_ZMO2042	1	.	+	ZMO1_ZMO2042	hypothetical protein	QIZ64057.1
ZM4	86442	87959	ZMO1_ZMO2042,ZMO1_ZMO0099;1	ZMO1_ZMO0099	1	.	+	ZMO1_ZMO0099	major facilitator superfamily transporter	AVZ41464.1
ZM4	88004	88432	ZMO1_ZMO0100;1	ZMO1_ZMO0100	1	.	-	ZMO1_ZMO0100	HxlR family transcriptional regulator	AVZ41465.1
ZM4	88477	89902	ZMO1_ZMO0101,ZMO1_ZMO0102;1	ZMO1_ZMO0101	1	.	+	ZMO1_ZMO0101	NAD-dependent epimerase/dehydratase	AVZ41466.1
ZM4	88477	89902	ZMO1_ZMO0101,ZMO1_ZMO0102;1	ZMO1_ZMO0102	1	.	+	ZMO1_ZMO0102	hypothetical protein	AVZ41467.1
ZM4	88491	89773	ZMO1_ZMO0101,ZMO1_ZMO0102;2	ZMO1_ZMO0101	2	.	+	ZMO1_ZMO0101	NAD-dependent epimerase/dehydratase	AVZ41466.1
ZM4	88491	89773	ZMO1_ZMO0101,ZMO1_ZMO0102;2	ZMO1_ZMO0102	2	.	+	ZMO1_ZMO0102	hypothetical protein	AVZ41467.1
ZM4	89858	91651	ZMO1_ZMO0103;1	ZMO1_ZMO0103	1	.	+	ZMO1_ZMO0103	beta-lactamase	AVZ41468.1
ZM4	91650	93715	ZMO1_ZMO0105,ZMO1_ZMO0106;1	ZMO1_ZMO0105	1	.	+	leuC	3-isopropylmalate dehydratase large subunit	AVZ41469.1
ZM4	91650	93715	ZMO1_ZMO0105,ZMO1_ZMO0106;1	ZMO1_ZMO0106	1	.	+	leuD	3-isopropylmalate dehydratase small subunit	AVZ41470.1
ZM4	93727	94612	ZMO1_ZMO0107;1	ZMO1_ZMO0107	1	.	-	ZMO1_ZMO0107	uncharacterized protein	AVZ41471.1
ZM4	93729	95060	ZMO1_ZMO0107,ZMO1_ZMO0108;1	ZMO1_ZMO0107	1	.	-	ZMO1_ZMO0107	uncharacterized protein	AVZ41471.1
ZM4	93729	95060	ZMO1_ZMO0107,ZMO1_ZMO0108;1	ZMO1_ZMO0108	1	.	-	ZMO1_ZMO0108	small multidrug resistance protein	AVZ41472.1
ZM4	94613	95061	ZMO1_ZMO0108;1	ZMO1_ZMO0108	1	.	-	ZMO1_ZMO0108	small multidrug resistance protein	AVZ41472.1
ZM4	95273	98097	ZMO1_ZMO0109,ZMO1_ZMO0110;2	ZMO1_ZMO0109	2	.	+	ZMO1_ZMO0109	hypothetical protein	AVZ41473.1
ZM4	95273	98097	ZMO1_ZMO0109,ZMO1_ZMO0110;2	ZMO1_ZMO0110	2	.	+	ZMO1_ZMO0110	glycosyl transferase family 2	AVZ41474.1
ZM4	95277	97883	ZMO1_ZMO0109,ZMO1_ZMO0110;1	ZMO1_ZMO0109	1	.	+	ZMO1_ZMO0109	hypothetical protein	AVZ41473.1
ZM4	95277	97883	ZMO1_ZMO0109,ZMO1_ZMO0110;1	ZMO1_ZMO0110	1	.	+	ZMO1_ZMO0110	glycosyl transferase family 2	AVZ41474.1
ZM4	97840	99688	ZMO1_ZMO0111;1	ZMO1_ZMO0111	1	.	-	ZMO1_ZMO0111	ABC transporter related protein	AVZ41475.1
ZM4	99841	100254	ZMO1_ZMO0112;1	ZMO1_ZMO0112	1	.	+	ZMO1_ZMO0112	uncharacterized protein	AVZ41476.1
ZM4	100921	104009	ZMO1_ZMO0113,ZMO1_ZMO0114,ZMO1_ZMO0115;1	ZMO1_ZMO0113	1	.	+	pabB	aminodeoxychorismate synthase component 1 PabB	AVZ41477.1
ZM4	100921	104009	ZMO1_ZMO0113,ZMO1_ZMO0114,ZMO1_ZMO0115;1	ZMO1_ZMO0114	1	.	+	trpGD	glutamine amidotransferase of anthranilate synthase	AVZ41478.1
ZM4	100921	104009	ZMO1_ZMO0113,ZMO1_ZMO0114,ZMO1_ZMO0115;1	ZMO1_ZMO0115	1	.	+	pabC	aminotransferase class IV	AVZ41479.1
ZM4	104010	104468	ZMO1_ZMO0116;1	ZMO1_ZMO0116	1	.	+	ZMO1_ZMO0116	BadM/Rrf2 family transcriptional regulator	AVZ41480.1
ZM4	104014	106184	ZMO1_ZMO0116,ZMO1_ZMO0117;1	ZMO1_ZMO0116	1	.	+	ZMO1_ZMO0116	BadM/Rrf2 family transcriptional regulator	AVZ41480.1
ZM4	104014	106184	ZMO1_ZMO0116,ZMO1_ZMO0117;1	ZMO1_ZMO0117	1	.	+	hcp	hydroxylamine reductase	AVZ41481.1
ZM4	104472	106158	ZMO1_ZMO0117;1	ZMO1_ZMO0117	1	.	+	hcp	hydroxylamine reductase	AVZ41481.1
ZM4	106159	107602	ZMO1_ZMO0119;1	ZMO1_ZMO0119	1	.	+	nhaA	Na+/H+ antiporter NhaA	AVZ41482.1
ZM4	106317	107483	ZMO1_ZMO0119;2	ZMO1_ZMO0119	2	.	+	nhaA	Na+/H+ antiporter NhaA	AVZ41482.1
ZM4	107620	108785	ZMO1_ZMO0120;1	ZMO1_ZMO0120	1	.	+	ZMO1_ZMO0120	dihydroorotate dehydrogenase/oxidase	AVZ41483.1
ZM4	108979	110537	ZMO1_ZMO0121;1	ZMO1_ZMO0121	1	.	+	ZMO1_ZMO0121	RarA recombination factor-like protein	AVZ41484.1
ZM4	108979	110434	ZMO1_ZMO0121;2	ZMO1_ZMO0121	2	.	+	ZMO1_ZMO0121	RarA recombination factor-like protein	AVZ41484.1
ZM4	110535	111037	ZMO1_ZMO0122;2	ZMO1_ZMO0122	2	.	+	ZMO1_ZMO0122	uncharacterized protein	AVZ41485.1
ZM4	110543	111335	ZMO1_ZMO0122;1	ZMO1_ZMO0122	1	.	+	ZMO1_ZMO0122	uncharacterized protein	AVZ41485.1
ZM4	111117	113542	ZMO1_ZMO0124,ZMO1_ZMO0125;1	ZMO1_ZMO0124	1	.	-	ZMO1_ZMO0124	ATPase-like protein	AVZ41486.2
ZM4	111117	113542	ZMO1_ZMO0124,ZMO1_ZMO0125;1	ZMO1_ZMO0125	1	.	-	ZMO1_ZMO0125	YbaK/EbsC-like prolyl-tRNA editing protein	AVZ41487.1
ZM4	111117	113292	ZMO1_ZMO0124,ZMO1_ZMO0125;2	ZMO1_ZMO0124	2	.	-	ZMO1_ZMO0124	ATPase-like protein	AVZ41486.2
ZM4	111117	113292	ZMO1_ZMO0124,ZMO1_ZMO0125;2	ZMO1_ZMO0125	2	.	-	ZMO1_ZMO0125	YbaK/EbsC-like prolyl-tRNA editing protein	AVZ41487.1
ZM4	113543	113616	ZMO1_ZMOt001;1	ZMO1_ZMOt001	1	.	-	ZMO1_ZMOt001	tRNA-Cys	-
ZM4	114429	118384	ZMO1_ZMO0127,ZMO1_ZMO0128;2	ZMO1_ZMO0127	2	.	-	ZMO1_ZMO0127	S1/P1 nuclease	AVZ41488.1
ZM4	114429	118384	ZMO1_ZMO0127,ZMO1_ZMO0128;2	ZMO1_ZMO0128	2	.	-	ZMO1_ZMO0128	TonB-dependent receptor	AVZ41489.1
ZM4	114455	118062	ZMO1_ZMO0127,ZMO1_ZMO0128;1	ZMO1_ZMO0127	1	.	-	ZMO1_ZMO0127	S1/P1 nuclease	AVZ41488.1
ZM4	114455	118062	ZMO1_ZMO0127,ZMO1_ZMO0128;1	ZMO1_ZMO0128	1	.	-	ZMO1_ZMO0128	TonB-dependent receptor	AVZ41489.1
ZM4	118385	119279	ZMO1_ZMO0130;1	ZMO1_ZMO0130	1	.	-	phoC	acid phosphatase	AVZ41490.1
ZM4	119318	120481	ZMO1_ZMO0131;1	ZMO1_ZMO0131	1	.	-	ZMO1_ZMO0131	metallophosphoesterase	AVZ41491.1
ZM4	120713	121607	ZMO1_ZMO0132;1	ZMO1_ZMO0132	1	.	+	ZMO1_ZMO0132	Sel1 domain protein repeat-containing protein	AVZ41492.2
ZM4	121823	122560	ZMO1_ZMO0133;1	ZMO1_ZMO0133	1	.	+	ZMO1_ZMO0133	Sel1 domain protein repeat-containing protein	AVZ41493.1
ZM4	122561	124225	ZMO1_ZMO2040;2	ZMO1_ZMO2040	2	.	+	ZMO1_ZMO2040	Sel1 domain protein repeat-containing protein	AVZ41494.1
ZM4	122763	124106	ZMO1_ZMO2040;1	ZMO1_ZMO2040	1	.	+	ZMO1_ZMO2040	Sel1 domain protein repeat-containing protein	AVZ41494.1
ZM4	124229	125167	ZMO1_ZMO2041;1	ZMO1_ZMO2041	1	.	+	ZMO1_ZMO2041	Sel1 domain protein repeat-containing protein	AVZ41495.1
ZM4	125251	125751	ZMO1_ZMO0134;1	ZMO1_ZMO0134	1	.	+	ZMO1_ZMO0134	Sel1 domain protein repeat-containing protein	AVZ41496.1
ZM4	125825	126644	ZMO1_ZMO0135;1	ZMO1_ZMO0135	1	.	+	ZMO1_ZMO0135	Sel1 domain protein repeat-containing protein	AVZ41497.1
ZM4	126561	127370	ZMO1_ZMO0136;1	ZMO1_ZMO0136	1	.	+	ZMO1_ZMO0136	Sel1 domain protein repeat-containing protein	AVZ41498.1
ZM4	127570	128837	ZMO1_ZMO0137;1	ZMO1_ZMO0137	1	.	+	ZMO1_ZMO0137	Sel1 domain protein repeat-containing protein	AVZ41499.1
ZM4	128923	129816	ZMO1_ZMO0139;1	ZMO1_ZMO0139	1	.	-	ZMO1_ZMO0139	aminoglycoside phosphotransferase	AVZ41500.1
ZM4	128979	130426	ZMO1_ZMO0139,ZMO1_ZMO0140;1	ZMO1_ZMO0139	1	.	-	ZMO1_ZMO0139	aminoglycoside phosphotransferase	AVZ41500.1
ZM4	128979	130426	ZMO1_ZMO0139,ZMO1_ZMO0140;1	ZMO1_ZMO0140	1	.	-	ptpA	protein tyrosine phosphatase	AVZ41501.1
ZM4	129817	130426	ZMO1_ZMO0140;1	ZMO1_ZMO0140	1	.	-	ptpA	protein tyrosine phosphatase	AVZ41501.1
